"SEGMENT", "POS_X", "POS_Y", "POS_Z"
"LMp", 0.29554435894139947,0.03656080302154424,0.036288284339950155;
"LMm", 0.6876861675754944,0.04882953162088771,0.12125762560356244;
"LMd", 1.0797899017924304,0.0,0.20988989491419943;
"L1p", 1.5014476875323806,-0.08373752998871013,0.5464822665696085;
"L1m", 2.041516743331695,-0.20045820831961378,1.0402047362964846;
"L1d", 2.5617165610111714,-0.2614672282429745,1.5392345986223264;
"L2p", 3.0703120202865937,-0.6257378601609235,2.486289650954789;
"L2m", 3.601235617488854,-1.1019319613341243,3.7291886490120087;
"L2d", 3.911843539405599,-1.900416080697789,4.830724463621986;
"L3p", 4.010743000887889,-3.1258490279141897,6.17600262593182;
"L3m", 4.282642885589951,-5.352184568755369,7.4177550685151825;
"L3d", 4.655596252298606,-7.584893794301164,7.748213320808538;
"L4p", 4.490976801318241,-8.775945564131543,7.187065244271911;
"L4m", 4.21632120625497,-8.90557304662871,6.492565301700468;
"L4d", 3.924718218543799,-8.98332259111663,5.81863404322389;
"C1p", 1.3660708352759223,-0.291076367144863,0.09552497839985384;
"C1m", 1.6403761922803517,-0.7321259575364403,-0.11470627751419989;
"C1d", 1.8445595049403363,-1.1330837648021193,-0.3920732261658757;
"C2p", 2.085264097312316,-1.4160614910390705,-0.6375292134925724;
"C2m", 2.2252074089401765,-1.8656265717713496,-1.085306169658326;
"C2d", 2.3529516082286777,-2.361812504365826,-1.3584772444009892;
"C3p", 2.3454517515525057,-2.8991378028648445,-1.7040704448875588;
"C3m", 2.091484565436457,-3.652586018847763,-2.0914845654364567;
"C3d", 1.9003220820963247,-4.476802891797226,-2.346702335681518;
"C4p", 0.9058706050175953,-5.24687766467891,-2.0346186912683786;
"C4m", 0.4646961839316486,-5.578559596035969,-1.8637945943999221;
"C4d", 1.6005231360110088,-5.9290894869708195,-0.8510132470094607;
"R1p", -0.43833477874433646,-0.187303296707956,0.1509307681868909;
"R1m", -1.439941817856379,-0.6914522932288603,0.5817742580907276;
"R1d", -2.0569992919589706,-1.2999999999999998,0.9158350904394823;
"R2p", -2.466796077701761,-2.139689329569447,0.9469142959961353;
"R2m", -2.927352707778549,-3.418466197196013,0.9511545525779821;
"R2d", -3.129703972901258,-4.587251448018354,0.7225490949822015;
"R3p", -2.894778440348643,-5.474275075725346,0.30425347423641175;
"R3m", -2.293205557573059,-5.974914729582092,-0.04002805190118708;
"R3d", 0.5069981483899437,-6.407241864952337,1.8921428491346153;
"R4p", 1.3811897602375875,-6.24042259895549,-1.6460378588174798;
"R4m", -0.04401090588894932,-5.663981837384125,-2.521383109712917;
"R4d", 0.5282419597121412,-5.1997575212616285,-3.3351884732474417;
