
"SEGMENT","RADIUS","THETA","PHI"
"L_Ostium","0.0","0.0","0.0"
"LMm","0.7","80.0","4.0"
"L1p","1.6 + 0.0 * 0.7","70.0 -1.5 *12.0","-3.0 +0.0 *12.0"
"L1m","2.3 + 1.0 * 0.8","63.0 -1.5 * 10.0","-5.0 -0.5 * 11.0"
"L2m","5.3","44.0","-12.0"
"L3m","10.1","30.0","-32.0"
"L4p","12.2","32.0","-46.0"
"L4m","11.8","33.0","-49.0"
"D1o","3.2-1.0*0.8","61.0+1.0*11.0","-8.0-0.0*10.0"
"D1m","6.2+0.0*1.0","61.0+1.0*10.0","-23.0+0.0*11.0"
"D2o","4.9+1.0*1.0","47.0+1.0*10.0","-12.0+0.0* 7.0"
"D2m","7.7+0.0*0.7","49.0+1.0*10.0","-24.0+0.0* 8.0"
"D3o","6.6+0.0*1.1","41.0+1.0* 9.0","-17.0+0.0* 7.0"
"D3m","9.0+0.0*0.9","42.0+1.0*10.0","-26.0+0.0* 7.0"
"S1o","3.3-1.0*1.1","57.0-2.0*11.0","-9.0-1.0*10.0"
"S1m","4.3-1.0*1.1","35.0-3.0*12.0","-31.0-2.0*10.0"
"S2o","5.2-0.1*1.1","44.0-1.0*10.0","-12.0-0.0*10.0"
"S2m","5.8+0.0*0.9","31.0-1.0* 7.0","-29.0+1.5*10.0"
"S3o","7.0+0.0*0.8","37.0+0.0* 8.0","-19.0+0.0* 7.0"
"S3m","7.3+0.0*0.8","30.0+0.0* 7.0","-31.0+0.0* 8.0"
"C1p","1.4","86.0","-12.0"
"C1m","1.8","94.0","-24.0"
"C2m","3.1","116.0","-37.0"
"C3m","4.8","135.0","-51.0"
"C4m","5.9","166.0","-71.0"
"MRo","1.2+0.0*0.5","85.0+0.0*18.0","-10.0+0.0*17.0"
"MRm","5.6+0.0*1.6","80.0+0.0*14.0","-34.0+0.0*13.0"
"OMo","2.5","104.0","-28.0"
"OMb","4.4","107.0","-37.0"
"OMa","5.3","102.0","-43.0"
"OMp","4.9","114.0","-43.0"
"M1o","2.2+0.0*0.7","102.0+0.0*15.0","-31.0+0.0*10.0"
"M1m","5.6-1.5*1.4","91.0+0.7*15.0","-38.0+0.1* 9.0"
"M2o","3.4+3.0*0.6","118.0-0.5*18.0","-41.0-0.0* 8.0"
"M2m","6.0+0.0*0.8","109.0-0.0*20.0","-51.0+0.0* 8.0"
"M3o","4.7+1.0*1.0","131.0+1.0*20.0","-49.0+1.0* 8.0"
"M3m","6.5+1.0*1.1","118.0+1.0*27.0","-58.0+1.0*10.0"
"R_Ostium","3.7","-25.0","-23.0"
"R1p","0.5","-71.0","-22.0"
"R1m","1.7","-68.0","-24.0"
"R2m","4.6","-72.0","-48.0"
"R3m","6.4","-91.0","-69.0"
"R4m","6.2","180.0","-66.0"
"RDm","7.6","80.0","-76.0"
"RIm","7.6","143.0","-68.0"
"RPm","8.0","145.0","-56.0"
